-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2021 ,,,,,,,,,,,,,,
Location: Latitude  30.6509   Longitude 70.0185 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1091.94 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,
T2M_MAX             MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,
T2M_MIN             MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,
T2M_RANGE           MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1995,5.27,31.64,10.55,47.46,0,10.55,36.91,21.09,21.09,0,0,0,184.57
PRECTOTCORR_SUM,1996,0,5.27,0,36.91,0,0,36.91,10.55,5.27,5.27,0,0,100.2
PRECTOTCORR_SUM,1997,10.55,0,31.64,21.09,5.27,42.19,26.37,0,0,21.09,5.27,5.27,168.75
PRECTOTCORR_SUM,1998,0,15.82,0,0,10.55,58.01,42.19,21.09,0,5.27,0,0,152.93
PRECTOTCORR_SUM,1999,36.91,26.37,10.55,0,5.27,5.27,21.09,21.09,10.55,0,0,0,137.11
PRECTOTCORR_SUM,2000,5.27,0,10.55,0,5.27,0,47.46,5.27,0,0,0,5.27,79.1
PRECTOTCORR_SUM,2001,15.82,5.27,5.27,15.82,0,10.55,26.37,0,31.64,0,0,5.27,116.02
PRECTOTCORR_SUM,2002,0,10.55,15.82,15.82,15.82,15.82,5.27,0,0,0,5.27,0,84.38
PRECTOTCORR_SUM,2003,0,10.55,0,0,0,5.27,42.19,21.09,5.27,0,0,0,84.38
PRECTOTCORR_SUM,2004,10.55,0,0,0,0,10.55,10.55,36.91,15.82,5.27,0,10.55,100.2
PRECTOTCORR_SUM,2005,0,21.09,26.37,5.27,21.09,10.55,47.46,5.27,5.27,0,0,0,142.38
PRECTOTCORR_SUM,2006,0,5.27,10.55,0,0,15.82,36.91,10.55,5.27,0,21.09,10.55,116.02
PRECTOTCORR_SUM,2007,0,42.19,21.09,0,5.27,68.55,36.91,5.27,5.27,0,0,0,184.57
PRECTOTCORR_SUM,2008,10.55,10.55,0,10.55,0,42.19,52.73,5.27,5.27,0,0,15.82,152.93
PRECTOTCORR_SUM,2009,5.27,5.27,10.55,5.27,0,0,47.46,5.27,10.55,0,0,0,89.65
PRECTOTCORR_SUM,2010,0,0,15.82,0,0,5.27,52.73,68.55,26.37,0,0,0,168.75
PRECTOTCORR_SUM,2011,0,5.27,0,0,0,0,21.09,15.82,15.82,0,0,0,58.01
PRECTOTCORR_SUM,2012,0,0,0,5.27,0,0,15.82,21.09,31.64,0,0,0,73.83
PRECTOTCORR_SUM,2013,0,31.64,10.55,21.09,0,31.64,21.09,26.37,0,0,0,0,142.38
PRECTOTCORR_SUM,2014,0,0,5.27,5.27,10.55,0,21.09,5.27,10.55,5.27,0,0,63.28
PRECTOTCORR_SUM,2015,5.27,15.82,21.09,5.27,0,10.55,42.19,21.09,0,0,0,0,121.29
PRECTOTCORR_SUM,2016,0,0,21.09,0,0,0,58.01,31.64,0,0,0,0,110.74
PRECTOTCORR_SUM,2017,26.37,5.27,0,5.27,0,31.64,15.82,21.09,0,0,10.55,0,116.02
PRECTOTCORR_SUM,2018,0,10.55,5.27,0,0,15.82,21.09,0,10.55,0,0,5.27,68.55
PRECTOTCORR_SUM,2019,21.09,10.55,52.73,52.73,0,36.91,26.37,47.46,5.27,5.27,26.37,0,284.77
PRECTOTCORR_SUM,2020,31.64,89.65,495.7,58.01,163.48,237.3,89.65,94.92,10.55,179.3,5.27,10.55,1466.02
PRECTOTCORR_SUM,2021,0,0,26.37,20.31,39.03,49.3,70.68,70.2,43.62,1.18,0,2.17,322.86
